image,label
data_given\Dog\8127.jpg,1
data_given\Dog\2248.jpg,1
data_given\Cat\8746.jpg,0
data_given\Dog\2519.jpg,1
data_given\Cat\9843.jpg,0
data_given\Cat\7611.jpg,0
data_given\Cat\2195.jpg,0
data_given\Dog\11207.jpg,1
data_given\Cat\4138.jpg,0
data_given\Dog\7212.jpg,1
data_given\Dog\11496.jpg,1
data_given\Cat\11507.jpg,0
data_given\Cat\406.jpg,0
data_given\Cat\6805.jpg,0
data_given\Cat\4779.jpg,0
data_given\Cat\2995.jpg,0
data_given\Dog\6390.jpg,1
data_given\Dog\3376.jpg,1
data_given\Dog\5122.jpg,1
data_given\Cat\10276.jpg,0
data_given\Dog\81.jpg,1
data_given\Dog\2052.jpg,1
data_given\Cat\11791.jpg,0
data_given\Cat\43.jpg,0
data_given\Dog\12186.jpg,1
data_given\Cat\6751.jpg,0
data_given\Dog\3695.jpg,1
data_given\Cat\10272.jpg,0
data_given\Dog\2822.jpg,1
data_given\Cat\3137.jpg,0
data_given\Cat\10899.jpg,0
data_given\Dog\7691.jpg,1
data_given\Cat\7536.jpg,0
data_given\Cat\5290.jpg,0
data_given\Dog\7043.jpg,1
data_given\Dog\3660.jpg,1
data_given\Dog\690.jpg,1
data_given\Cat\11696.jpg,0
data_given\Cat\9151.jpg,0
data_given\Cat\3766.jpg,0
data_given\Dog\5986.jpg,1
data_given\Dog\12049.jpg,1
data_given\Dog\8836.jpg,1
data_given\Cat\6856.jpg,0
data_given\Dog\7444.jpg,1
data_given\Dog\3480.jpg,1
data_given\Cat\845.jpg,0
data_given\Cat\398.jpg,0
data_given\Dog\5534.jpg,1
data_given\Dog\2607.jpg,1
data_given\Cat\4532.jpg,0
data_given\Cat\793.jpg,0
data_given\Cat\797.jpg,0
data_given\Dog\1177.jpg,1
data_given\Cat\11303.jpg,0
data_given\Dog\11399.jpg,1
data_given\Cat\359.jpg,0
data_given\Dog\2455.jpg,1
data_given\Dog\774.jpg,1
data_given\Cat\7462.jpg,0
data_given\Cat\7506.jpg,0
data_given\Dog\8669.jpg,1
data_given\Cat\7593.jpg,0
data_given\Dog\4616.jpg,1
data_given\Cat\7423.jpg,0
data_given\Dog\5116.jpg,1
data_given\Cat\7955.jpg,0
data_given\Cat\7176.jpg,0
data_given\Cat\10028.jpg,0
data_given\Cat\7259.jpg,0
data_given\Cat\4881.jpg,0
data_given\Dog\11921.jpg,1
data_given\Dog\891.jpg,1
data_given\Dog\11701.jpg,1
data_given\Dog\6552.jpg,1
data_given\Cat\2004.jpg,0
data_given\Dog\8857.jpg,1
data_given\Cat\7009.jpg,0
data_given\Cat\12389.jpg,0
data_given\Cat\5497.jpg,0
data_given\Cat\2800.jpg,0
data_given\Dog\9613.jpg,1
data_given\Cat\1156.jpg,0
data_given\Dog\6350.jpg,1
data_given\Dog\1939.jpg,1
data_given\Cat\8971.jpg,0
data_given\Dog\1757.jpg,1
data_given\Dog\3313.jpg,1
data_given\Cat\346.jpg,0
data_given\Dog\6021.jpg,1
data_given\Cat\9084.jpg,0
data_given\Dog\7852.jpg,1
data_given\Cat\5881.jpg,0
data_given\Cat\876.jpg,0
data_given\Dog\12442.jpg,1
data_given\Dog\4266.jpg,1
data_given\Cat\8234.jpg,0
data_given\Dog\4354.jpg,1
data_given\Cat\3251.jpg,0
data_given\Dog\4200.jpg,1
data_given\Cat\10253.jpg,0
data_given\Cat\11628.jpg,0
data_given\Dog\10801.jpg,1
data_given\Cat\1986.jpg,0
data_given\Dog\6327.jpg,1
data_given\Cat\4820.jpg,0
data_given\Cat\11290.jpg,0
data_given\Dog\955.jpg,1
data_given\Cat\1285.jpg,0
data_given\Cat\6895.jpg,0
data_given\Cat\626.jpg,0
data_given\Cat\9097.jpg,0
data_given\Dog\3989.jpg,1
data_given\Cat\6521.jpg,0
data_given\Dog\8696.jpg,1
data_given\Dog\10559.jpg,1
data_given\Dog\7290.jpg,1
data_given\Cat\7615.jpg,0
data_given\Dog\1625.jpg,1
data_given\Dog\9918.jpg,1
data_given\Cat\9352.jpg,0
data_given\Dog\11730.jpg,1
data_given\Dog\5958.jpg,1
data_given\Cat\9030.jpg,0
data_given\Dog\4849.jpg,1
data_given\Cat\3362.jpg,0
data_given\Cat\4758.jpg,0
data_given\Cat\2887.jpg,0
data_given\Dog\9090.jpg,1
data_given\Cat\11997.jpg,0
data_given\Cat\7437.jpg,0
data_given\Cat\727.jpg,0
data_given\Dog\2264.jpg,1
data_given\Cat\2582.jpg,0
data_given\Dog\566.jpg,1
data_given\Dog\11809.jpg,1
data_given\Cat\1858.jpg,0
data_given\Dog\1301.jpg,1
data_given\Cat\6561.jpg,0
data_given\Cat\2619.jpg,0
data_given\Dog\866.jpg,1
data_given\Cat\8163.jpg,0
data_given\Cat\4463.jpg,0
data_given\Cat\11349.jpg,0
data_given\Cat\5710.jpg,0
data_given\Cat\4739.jpg,0
data_given\Cat\8075.jpg,0
data_given\Cat\2036.jpg,0
data_given\Cat\4657.jpg,0
data_given\Cat\2943.jpg,0
data_given\Dog\2496.jpg,1
data_given\Cat\6076.jpg,0
data_given\Cat\5666.jpg,0
data_given\Cat\3036.jpg,0
data_given\Cat\6830.jpg,0
data_given\Cat\9629.jpg,0
data_given\Cat\10998.jpg,0
data_given\Dog\10109.jpg,1
data_given\Dog\4586.jpg,1
data_given\Dog\6644.jpg,1
data_given\Cat\4125.jpg,0
data_given\Cat\7267.jpg,0
data_given\Cat\6636.jpg,0
data_given\Cat\583.jpg,0
data_given\Dog\7615.jpg,1
data_given\Cat\1114.jpg,0
data_given\Cat\9982.jpg,0
data_given\Dog\6850.jpg,1
data_given\Cat\8026.jpg,0
data_given\Dog\2697.jpg,1
data_given\Cat\8256.jpg,0
data_given\Dog\287.jpg,1
data_given\Cat\2200.jpg,0
data_given\Cat\4310.jpg,0
data_given\Cat\957.jpg,0
data_given\Dog\4244.jpg,1
data_given\Cat\4618.jpg,0
data_given\Cat\1263.jpg,0
data_given\Dog\4725.jpg,1
data_given\Cat\7596.jpg,0
data_given\Cat\7383.jpg,0
data_given\Dog\4644.jpg,1
data_given\Cat\861.jpg,0
data_given\Cat\4768.jpg,0
data_given\Dog\730.jpg,1
data_given\Cat\3964.jpg,0
data_given\Dog\7790.jpg,1
data_given\Cat\1391.jpg,0
data_given\Cat\5207.jpg,0
data_given\Cat\3327.jpg,0
data_given\Dog\6438.jpg,1
data_given\Cat\11486.jpg,0
data_given\Dog\2924.jpg,1
data_given\Dog\8929.jpg,1
data_given\Cat\9160.jpg,0
data_given\Dog\7421.jpg,1
data_given\Cat\11640.jpg,0
data_given\Cat\6248.jpg,0
data_given\Dog\607.jpg,1
data_given\Cat\10988.jpg,0
data_given\Cat\8046.jpg,0
data_given\Dog\1697.jpg,1
data_given\Dog\8936.jpg,1
data_given\Dog\7579.jpg,1
data_given\Dog\4179.jpg,1
data_given\Cat\6274.jpg,0
data_given\Dog\7921.jpg,1
data_given\Cat\8485.jpg,0
data_given\Cat\10304.jpg,0
data_given\Dog\6404.jpg,1
data_given\Cat\9833.jpg,0
data_given\Dog\7064.jpg,1
data_given\Dog\4444.jpg,1
data_given\Cat\10183.jpg,0
data_given\Cat\8756.jpg,0
data_given\Dog\11166.jpg,1
data_given\Cat\4327.jpg,0
data_given\Dog\420.jpg,1
data_given\Dog\5853.jpg,1
data_given\Cat\6878.jpg,0
data_given\Dog\11417.jpg,1
data_given\Dog\5351.jpg,1
data_given\Dog\12056.jpg,1
data_given\Dog\3460.jpg,1
data_given\Dog\10202.jpg,1
data_given\Cat\6998.jpg,0
data_given\Cat\10818.jpg,0
data_given\Dog\5108.jpg,1
data_given\Cat\1478.jpg,0
data_given\Dog\2418.jpg,1
data_given\Cat\4714.jpg,0
data_given\Dog\10107.jpg,1
data_given\Cat\11391.jpg,0
data_given\Cat\1313.jpg,0
data_given\Dog\9542.jpg,1
data_given\Dog\5457.jpg,1
data_given\Dog\7070.jpg,1
data_given\Dog\7899.jpg,1
data_given\Dog\5243.jpg,1
data_given\Cat\10496.jpg,0
data_given\Dog\4935.jpg,1
data_given\Cat\2117.jpg,0
data_given\Cat\9699.jpg,0
data_given\Dog\552.jpg,1
data_given\Dog\7857.jpg,1
data_given\Dog\7496.jpg,1
data_given\Dog\7488.jpg,1
data_given\Cat\9247.jpg,0
data_given\Dog\2195.jpg,1
data_given\Dog\10224.jpg,1
data_given\Cat\5522.jpg,0
data_given\Dog\4648.jpg,1
data_given\Dog\1188.jpg,1
data_given\Dog\4085.jpg,1
data_given\Dog\12123.jpg,1
data_given\Cat\5656.jpg,0
data_given\Cat\1433.jpg,0
data_given\Cat\1653.jpg,0
data_given\Cat\4435.jpg,0
data_given\Dog\9934.jpg,1
data_given\Cat\4867.jpg,0
data_given\Dog\3915.jpg,1
data_given\Cat\11650.jpg,0
data_given\Dog\11573.jpg,1
data_given\Dog\12342.jpg,1
data_given\Cat\4575.jpg,0
data_given\Dog\7122.jpg,1
data_given\Dog\11533.jpg,1
data_given\Dog\4167.jpg,1
data_given\Cat\2555.jpg,0
data_given\Cat\11180.jpg,0
data_given\Dog\361.jpg,1
data_given\Cat\6159.jpg,0
data_given\Dog\720.jpg,1
data_given\Cat\1185.jpg,0
data_given\Cat\7507.jpg,0
data_given\Dog\4468.jpg,1
data_given\Dog\1920.jpg,1
data_given\Cat\376.jpg,0
data_given\Dog\6005.jpg,1
data_given\Cat\7339.jpg,0
data_given\Cat\11502.jpg,0
data_given\Dog\3947.jpg,1
data_given\Cat\7938.jpg,0
data_given\Dog\1231.jpg,1
data_given\Cat\12373.jpg,0
data_given\Cat\9191.jpg,0
data_given\Cat\12062.jpg,0
data_given\Cat\7783.jpg,0
data_given\Dog\7381.jpg,1
data_given\Cat\12072.jpg,0
data_given\Dog\3621.jpg,1
data_given\Cat\10455.jpg,0
data_given\Cat\9074.jpg,0
data_given\Cat\7843.jpg,0
data_given\Dog\8695.jpg,1
data_given\Cat\9805.jpg,0
data_given\Cat\3725.jpg,0
data_given\Dog\7175.jpg,1
data_given\Cat\7416.jpg,0
data_given\Cat\12409.jpg,0
data_given\Dog\1548.jpg,1
data_given\Dog\1487.jpg,1
data_given\Dog\10792.jpg,1
data_given\Cat\9841.jpg,0
data_given\Dog\8272.jpg,1
data_given\Dog\11361.jpg,1
data_given\Dog\10284.jpg,1
data_given\Dog\4817.jpg,1
data_given\Dog\10511.jpg,1
data_given\Cat\8832.jpg,0
data_given\Dog\2090.jpg,1
data_given\Dog\3622.jpg,1
data_given\Cat\3157.jpg,0
data_given\Dog\8977.jpg,1
data_given\Dog\1571.jpg,1
data_given\Cat\290.jpg,0
data_given\Dog\3093.jpg,1
data_given\Cat\8186.jpg,0
data_given\Dog\9644.jpg,1
data_given\Cat\952.jpg,0
data_given\Dog\611.jpg,1
data_given\Cat\3443.jpg,0
data_given\Cat\10029.jpg,0
data_given\Cat\7078.jpg,0
data_given\Dog\10938.jpg,1
data_given\Cat\310.jpg,0
data_given\Cat\8740.jpg,0
data_given\Dog\11190.jpg,1
data_given\Cat\691.jpg,0
data_given\Dog\5481.jpg,1
data_given\Cat\6151.jpg,0
data_given\Dog\3094.jpg,1
data_given\Dog\1824.jpg,1
data_given\Dog\11865.jpg,1
data_given\Dog\6058.jpg,1
data_given\Cat\7947.jpg,0
data_given\Dog\10283.jpg,1
data_given\Dog\4816.jpg,1
data_given\Dog\9905.jpg,1
data_given\Dog\5036.jpg,1
data_given\Dog\5459.jpg,1
data_given\Cat\6952.jpg,0
data_given\Cat\8712.jpg,0
data_given\Dog\1015.jpg,1
data_given\Cat\3998.jpg,0
data_given\Cat\4796.jpg,0
data_given\Cat\7934.jpg,0
data_given\Dog\21.jpg,1
data_given\Cat\11764.jpg,0
data_given\Dog\10725.jpg,1
data_given\Dog\1460.jpg,1
data_given\Dog\4169.jpg,1
data_given\Cat\7213.jpg,0
data_given\Cat\2896.jpg,0
data_given\Cat\5038.jpg,0
data_given\Cat\10019.jpg,0
data_given\Dog\596.jpg,1
data_given\Dog\3422.jpg,1
data_given\Dog\4448.jpg,1
data_given\Cat\7255.jpg,0
data_given\Dog\7217.jpg,1
data_given\Dog\3063.jpg,1
data_given\Dog\2246.jpg,1
data_given\Cat\4744.jpg,0
data_given\Cat\1902.jpg,0
data_given\Dog\6339.jpg,1
data_given\Cat\2684.jpg,0
data_given\Cat\9631.jpg,0
data_given\Dog\8729.jpg,1
data_given\Cat\7986.jpg,0
data_given\Dog\7658.jpg,1
data_given\Dog\8817.jpg,1
data_given\Cat\6046.jpg,0
data_given\Cat\12434.jpg,0
data_given\Dog\11599.jpg,1
data_given\Cat\3403.jpg,0
data_given\Cat\12175.jpg,0
data_given\Dog\9383.jpg,1
data_given\Cat\4420.jpg,0
data_given\Dog\10716.jpg,1
data_given\Dog\12444.jpg,1
data_given\Dog\5454.jpg,1
data_given\Cat\12097.jpg,0
data_given\Cat\9077.jpg,0
data_given\Cat\3735.jpg,0
data_given\Dog\2723.jpg,1
data_given\Dog\3205.jpg,1
data_given\Dog\5528.jpg,1
data_given\Cat\3617.jpg,0
data_given\Cat\4919.jpg,0
data_given\Dog\11559.jpg,1
data_given\Cat\1429.jpg,0
data_given\Dog\533.jpg,1
data_given\Cat\4225.jpg,0
data_given\Cat\2005.jpg,0
data_given\Dog\4625.jpg,1
data_given\Dog\11366.jpg,1
data_given\Cat\8671.jpg,0
data_given\Cat\8251.jpg,0
data_given\Dog\6977.jpg,1
data_given\Dog\8592.jpg,1
data_given\Dog\5085.jpg,1
data_given\Cat\4920.jpg,0
data_given\Cat\3755.jpg,0
data_given\Cat\5545.jpg,0
data_given\Cat\6467.jpg,0
data_given\Dog\4463.jpg,1
data_given\Cat\6555.jpg,0
data_given\Cat\8836.jpg,0
data_given\Cat\6384.jpg,0
data_given\Dog\8839.jpg,1
data_given\Cat\6105.jpg,0
data_given\Cat\5454.jpg,0
data_given\Dog\1238.jpg,1
data_given\Dog\2003.jpg,1
data_given\Dog\10386.jpg,1
data_given\Cat\12181.jpg,0
data_given\Cat\8182.jpg,0
data_given\Cat\129.jpg,0
data_given\Cat\5910.jpg,0
data_given\Dog\3299.jpg,1
data_given\Dog\4746.jpg,1
data_given\Dog\4929.jpg,1
data_given\Cat\5176.jpg,0
data_given\Cat\10625.jpg,0
data_given\Dog\2078.jpg,1
data_given\Cat\2999.jpg,0
data_given\Cat\12286.jpg,0
data_given\Dog\5764.jpg,1
data_given\Cat\2625.jpg,0
data_given\Dog\11649.jpg,1
data_given\Dog\4770.jpg,1
data_given\Dog\829.jpg,1
data_given\Dog\11582.jpg,1
data_given\Dog\10727.jpg,1
data_given\Dog\3404.jpg,1
data_given\Dog\10389.jpg,1
data_given\Dog\8219.jpg,1
data_given\Cat\9558.jpg,0
data_given\Cat\5843.jpg,0
data_given\Cat\4350.jpg,0
data_given\Dog\6343.jpg,1
data_given\Dog\1117.jpg,1
data_given\Cat\11512.jpg,0
data_given\Cat\634.jpg,0
data_given\Dog\11884.jpg,1
data_given\Cat\4794.jpg,0
data_given\Cat\4265.jpg,0
data_given\Dog\11600.jpg,1
data_given\Dog\4719.jpg,1
data_given\Dog\5130.jpg,1
data_given\Dog\8369.jpg,1
data_given\Cat\5521.jpg,0
data_given\Dog\2080.jpg,1
data_given\Cat\4781.jpg,0
data_given\Dog\10718.jpg,1
data_given\Dog\8167.jpg,1
data_given\Dog\11364.jpg,1
data_given\Cat\263.jpg,0
data_given\Dog\8261.jpg,1
data_given\Cat\6184.jpg,0
data_given\Dog\6301.jpg,1
data_given\Dog\12311.jpg,1
data_given\Cat\10823.jpg,0
data_given\Dog\2056.jpg,1
data_given\Dog\12366.jpg,1
data_given\Dog\3668.jpg,1
data_given\Dog\4546.jpg,1
data_given\Dog\853.jpg,1
data_given\Cat\4862.jpg,0
data_given\Dog\10754.jpg,1
data_given\Dog\6940.jpg,1
data_given\Cat\5434.jpg,0
data_given\Dog\6215.jpg,1
data_given\Cat\8463.jpg,0
data_given\Cat\552.jpg,0
data_given\Dog\1.jpg,1
data_given\Dog\10909.jpg,1
data_given\Cat\8114.jpg,0
data_given\Dog\10623.jpg,1
data_given\Cat\8279.jpg,0
data_given\Dog\9687.jpg,1
data_given\Dog\10635.jpg,1
data_given\Cat\1290.jpg,0
data_given\Cat\4718.jpg,0
data_given\Dog\6257.jpg,1
data_given\Dog\9523.jpg,1
data_given\Cat\7238.jpg,0
data_given\Dog\8506.jpg,1
data_given\Dog\2891.jpg,1
data_given\Dog\3119.jpg,1
data_given\Cat\11106.jpg,0
data_given\Cat\3925.jpg,0
data_given\Cat\1049.jpg,0
data_given\Cat\5049.jpg,0
data_given\Dog\101.jpg,1
data_given\Dog\5767.jpg,1
data_given\Cat\3151.jpg,0
data_given\Cat\3158.jpg,0
data_given\Cat\302.jpg,0
data_given\Dog\4812.jpg,1
data_given\Dog\10991.jpg,1
data_given\Cat\206.jpg,0
data_given\Cat\8501.jpg,0
data_given\Cat\10048.jpg,0
data_given\Cat\11633.jpg,0
data_given\Cat\6052.jpg,0
data_given\Dog\8996.jpg,1
data_given\Dog\4997.jpg,1
data_given\Cat\676.jpg,0
data_given\Cat\5157.jpg,0
data_given\Dog\10644.jpg,1
data_given\Cat\1534.jpg,0
data_given\Cat\7132.jpg,0
data_given\Dog\1743.jpg,1
data_given\Dog\7079.jpg,1
data_given\Cat\1287.jpg,0
data_given\Cat\2294.jpg,0
data_given\Dog\4926.jpg,1
data_given\Cat\1097.jpg,0
data_given\Cat\4288.jpg,0
data_given\Cat\9824.jpg,0
data_given\Dog\284.jpg,1
data_given\Cat\9146.jpg,0
data_given\Dog\3277.jpg,1
data_given\Dog\11605.jpg,1
data_given\Cat\5571.jpg,0
data_given\Cat\2831.jpg,0
data_given\Dog\1493.jpg,1
data_given\Cat\5855.jpg,0
data_given\Dog\2862.jpg,1
data_given\Dog\9353.jpg,1
data_given\Cat\11433.jpg,0
data_given\Cat\5771.jpg,0
data_given\Dog\711.jpg,1
data_given\Dog\5348.jpg,1
data_given\Cat\181.jpg,0
data_given\Cat\3888.jpg,0
data_given\Cat\9139.jpg,0
data_given\Dog\312.jpg,1
data_given\Cat\2361.jpg,0
data_given\Dog\11684.jpg,1
data_given\Cat\12002.jpg,0
data_given\Dog\6439.jpg,1
data_given\Dog\6890.jpg,1
data_given\Dog\10987.jpg,1
data_given\Dog\4038.jpg,1
data_given\Dog\579.jpg,1
data_given\Cat\2695.jpg,0
data_given\Cat\11799.jpg,0
data_given\Cat\5293.jpg,0
data_given\Dog\10690.jpg,1
data_given\Cat\9758.jpg,0
data_given\Dog\10088.jpg,1
data_given\Dog\3554.jpg,1
data_given\Cat\10037.jpg,0
data_given\Dog\1592.jpg,1
data_given\Cat\990.jpg,0
data_given\Dog\12491.jpg,1
data_given\Cat\3999.jpg,0
data_given\Dog\8708.jpg,1
data_given\Dog\11040.jpg,1
data_given\Dog\7542.jpg,1
data_given\Dog\1935.jpg,1
data_given\Dog\2795.jpg,1
data_given\Dog\7302.jpg,1
data_given\Dog\9992.jpg,1
data_given\Dog\2978.jpg,1
data_given\Cat\5796.jpg,0
data_given\Cat\710.jpg,0
data_given\Dog\9088.jpg,1
data_given\Dog\8768.jpg,1
data_given\Dog\1118.jpg,1
data_given\Cat\4526.jpg,0
data_given\Cat\6141.jpg,0
data_given\Dog\9948.jpg,1
data_given\Cat\9619.jpg,0
data_given\Cat\2448.jpg,0
data_given\Dog\1983.jpg,1
data_given\Dog\1805.jpg,1
data_given\Cat\7195.jpg,0
data_given\Dog\691.jpg,1
data_given\Cat\11809.jpg,0
data_given\Cat\10668.jpg,0
data_given\Dog\2086.jpg,1
data_given\Dog\7422.jpg,1
data_given\Dog\9101.jpg,1
data_given\Cat\11257.jpg,0
data_given\Dog\3963.jpg,1
data_given\Cat\8029.jpg,0
data_given\Dog\8610.jpg,1
data_given\Dog\7908.jpg,1
data_given\Dog\1577.jpg,1
data_given\Dog\6915.jpg,1
data_given\Dog\5905.jpg,1
data_given\Dog\11184.jpg,1
data_given\Dog\12119.jpg,1
data_given\Dog\30.jpg,1
data_given\Cat\8038.jpg,0
data_given\Dog\4958.jpg,1
data_given\Cat\5029.jpg,0
data_given\Dog\10824.jpg,1
data_given\Dog\4074.jpg,1
data_given\Cat\4523.jpg,0
data_given\Dog\3760.jpg,1
data_given\Dog\10355.jpg,1
data_given\Cat\7641.jpg,0
data_given\Cat\9023.jpg,0
data_given\Dog\4388.jpg,1
data_given\Dog\329.jpg,1
data_given\Cat\11063.jpg,0
data_given\Dog\4888.jpg,1
data_given\Dog\8284.jpg,1
data_given\Dog\5750.jpg,1
data_given\Cat\8625.jpg,0
data_given\Dog\10258.jpg,1
data_given\Cat\403.jpg,0
data_given\Cat\6133.jpg,0
data_given\Dog\3056.jpg,1
data_given\Dog\1867.jpg,1
data_given\Dog\3860.jpg,1
data_given\Cat\3693.jpg,0
data_given\Cat\7605.jpg,0
data_given\Cat\912.jpg,0
data_given\Cat\170.jpg,0
data_given\Cat\2735.jpg,0
data_given\Dog\3017.jpg,1
data_given\Cat\8487.jpg,0
data_given\Dog\4674.jpg,1
data_given\Dog\393.jpg,1
data_given\Dog\3227.jpg,1
data_given\Cat\3653.jpg,0
data_given\Dog\6529.jpg,1
data_given\Cat\10666.jpg,0
data_given\Cat\1545.jpg,0
data_given\Dog\8072.jpg,1
data_given\Cat\824.jpg,0
data_given\Dog\5068.jpg,1
data_given\Cat\3967.jpg,0
data_given\Cat\777.jpg,0
data_given\Cat\3871.jpg,0
data_given\Cat\8100.jpg,0
data_given\Cat\10557.jpg,0
data_given\Dog\1148.jpg,1
data_given\Dog\12145.jpg,1
data_given\Cat\9335.jpg,0
data_given\Dog\3649.jpg,1
data_given\Dog\1391.jpg,1
data_given\Cat\11846.jpg,0
data_given\Cat\8259.jpg,0
data_given\Cat\1367.jpg,0
data_given\Cat\5686.jpg,0
data_given\Dog\10396.jpg,1
data_given\Dog\405.jpg,1
data_given\Cat\9217.jpg,0
data_given\Cat\12294.jpg,0
data_given\Dog\1285.jpg,1
data_given\Dog\1516.jpg,1
data_given\Dog\11918.jpg,1
data_given\Cat\7690.jpg,0
data_given\Cat\9326.jpg,0
data_given\Dog\7755.jpg,1
data_given\Cat\7586.jpg,0
data_given\Cat\7521.jpg,0
data_given\Dog\4262.jpg,1
data_given\Cat\3940.jpg,0
data_given\Dog\12235.jpg,1
data_given\Cat\9714.jpg,0
data_given\Dog\734.jpg,1
data_given\Dog\1352.jpg,1
data_given\Cat\12221.jpg,0
data_given\Dog\2905.jpg,1
data_given\Cat\1460.jpg,0
data_given\Dog\12167.jpg,1
data_given\Dog\1280.jpg,1
data_given\Cat\11126.jpg,0
data_given\Cat\2859.jpg,0
data_given\Dog\5591.jpg,1
data_given\Dog\160.jpg,1
data_given\Cat\5322.jpg,0
data_given\Dog\8676.jpg,1
data_given\Cat\11665.jpg,0
data_given\Cat\7618.jpg,0
data_given\Cat\4025.jpg,0
data_given\Cat\12179.jpg,0
data_given\Dog\10074.jpg,1
data_given\Cat\9571.jpg,0
data_given\Dog\2716.jpg,1
data_given\Dog\7586.jpg,1
data_given\Dog\2717.jpg,1
data_given\Cat\12026.jpg,0
data_given\Dog\3423.jpg,1
data_given\Dog\11295.jpg,1
data_given\Dog\6979.jpg,1
data_given\Dog\2872.jpg,1
data_given\Dog\6241.jpg,1
data_given\Dog\5648.jpg,1
data_given\Dog\12103.jpg,1
data_given\Cat\2950.jpg,0
data_given\Dog\1474.jpg,1
data_given\Dog\1710.jpg,1
data_given\Dog\7507.jpg,1
data_given\Cat\8709.jpg,0
data_given\Cat\8579.jpg,0
data_given\Dog\9166.jpg,1
data_given\Cat\1417.jpg,0
data_given\Cat\10520.jpg,0
data_given\Dog\3437.jpg,1
data_given\Cat\9592.jpg,0
data_given\Dog\5383.jpg,1
data_given\Dog\11255.jpg,1
data_given\Cat\6674.jpg,0
data_given\Cat\2434.jpg,0
data_given\Cat\10103.jpg,0
data_given\Dog\4181.jpg,1
data_given\Cat\11130.jpg,0
data_given\Dog\6736.jpg,1
data_given\Dog\11176.jpg,1
data_given\Dog\10766.jpg,1
data_given\Dog\4806.jpg,1
data_given\Dog\10387.jpg,1
data_given\Cat\4916.jpg,0
data_given\Cat\1861.jpg,0
data_given\Cat\7263.jpg,0
data_given\Cat\4504.jpg,0
data_given\Cat\2159.jpg,0
data_given\Cat\6769.jpg,0
data_given\Dog\1223.jpg,1
data_given\Cat\671.jpg,0
data_given\Dog\8281.jpg,1
data_given\Dog\9808.jpg,1
data_given\Dog\12153.jpg,1
data_given\Dog\1175.jpg,1
data_given\Cat\8558.jpg,0
data_given\Dog\4803.jpg,1
data_given\Dog\5366.jpg,1
data_given\Dog\8746.jpg,1
data_given\Cat\9028.jpg,0
data_given\Cat\2849.jpg,0
data_given\Cat\2421.jpg,0
data_given\Cat\5506.jpg,0
data_given\Dog\3705.jpg,1
data_given\Dog\4867.jpg,1
data_given\Dog\2152.jpg,1
data_given\Cat\3956.jpg,0
data_given\Cat\2453.jpg,0
data_given\Dog\3136.jpg,1
data_given\Dog\398.jpg,1
data_given\Cat\807.jpg,0
data_given\Cat\9504.jpg,0
data_given\Dog\3631.jpg,1
data_given\Cat\509.jpg,0
data_given\Dog\8148.jpg,1
data_given\Dog\4385.jpg,1
data_given\Cat\8837.jpg,0
data_given\Dog\7237.jpg,1
data_given\Cat\8953.jpg,0
data_given\Cat\9002.jpg,0
data_given\Dog\7080.jpg,1
data_given\Dog\1491.jpg,1
data_given\Dog\9404.jpg,1
data_given\Cat\9234.jpg,0
data_given\Dog\9295.jpg,1
data_given\Cat\6415.jpg,0
data_given\Cat\7881.jpg,0
data_given\Cat\9863.jpg,0
data_given\Cat\1164.jpg,0
data_given\Cat\8853.jpg,0
data_given\Dog\6384.jpg,1
data_given\Cat\8898.jpg,0
data_given\Cat\11784.jpg,0
data_given\Cat\4878.jpg,0
data_given\Cat\10450.jpg,0
data_given\Cat\9967.jpg,0
data_given\Cat\4159.jpg,0
data_given\Dog\2442.jpg,1
data_given\Dog\1977.jpg,1
data_given\Dog\5843.jpg,1
data_given\Cat\6218.jpg,0
data_given\Dog\1724.jpg,1
data_given\Dog\3644.jpg,1
data_given\Cat\3661.jpg,0
data_given\Cat\5130.jpg,0
data_given\Cat\8927.jpg,0
data_given\Cat\2853.jpg,0
data_given\Cat\4024.jpg,0
data_given\Dog\2370.jpg,1
data_given\Cat\1268.jpg,0
data_given\Dog\120.jpg,1
data_given\Cat\11025.jpg,0
data_given\Cat\5003.jpg,0
data_given\Dog\888.jpg,1
data_given\Dog\987.jpg,1
data_given\Cat\12190.jpg,0
data_given\Dog\3137.jpg,1
data_given\Cat\9390.jpg,0
data_given\Cat\1437.jpg,0
data_given\Dog\6660.jpg,1
data_given\Cat\2678.jpg,0
data_given\Dog\5688.jpg,1
data_given\Dog\7938.jpg,1
data_given\Dog\392.jpg,1
data_given\Dog\248.jpg,1
data_given\Cat\7163.jpg,0
data_given\Dog\9169.jpg,1
data_given\Dog\8073.jpg,1
data_given\Dog\11871.jpg,1
data_given\Cat\11195.jpg,0
data_given\Cat\11018.jpg,0
data_given\Dog\6000.jpg,1
data_given\Cat\8430.jpg,0
data_given\Dog\10370.jpg,1
data_given\Cat\3824.jpg,0
data_given\Cat\6249.jpg,0
data_given\Cat\5751.jpg,0
data_given\Dog\1136.jpg,1
data_given\Dog\1154.jpg,1
data_given\Dog\5367.jpg,1
data_given\Cat\9529.jpg,0
data_given\Dog\4922.jpg,1
data_given\Cat\2763.jpg,0
data_given\Cat\5973.jpg,0
data_given\Cat\10831.jpg,0
data_given\Cat\9162.jpg,0
data_given\Cat\9734.jpg,0
data_given\Dog\5034.jpg,1
